,campaign_type_1,opened_1,camp_volume_1,users_received_8,campaign_type_8,disc1_pre_3days,disc1_pre_6day,disc1_pre_14dat,disc2_pre_4days,disc2_pre_14day,disc3_pre_1day,disc5_pre_13day,products_pre_7day,products_pre_14day,new_users_pre_3days,volume_pre_3days,volume_pre_7day,volume_pre_14day,full_revenue_pre_7day,year,month,grid_id
139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,2400.0,2015,10,139
320,1.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2600.0,2015,10,139
501,0.0,0.0,0.0,97.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4000.0,2015,10,139
682,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,10.0,0.0,0.0,7900.0,2015,10,139
863,0.0,0.0,0.0,99.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,9.0,0.0,0.0,2400.0,2015,10,139
1044,2.0,36.0,120.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,10.0,0.0,0.0,4200.0,2015,10,139
1225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,0.0,0.0,5000.0,2015,10,139
1406,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,5.0,2.0,0.0,15000.0,2015,11,139
1587,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,1.0,0.0,5000.0,2015,11,139
1768,1.0,45.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,5.0,7.0,0.0,2600.0,2015,11,139
1949,0.0,0.0,0.0,119.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,6.0,1.0,0.0,4800.0,2015,11,139
2130,1.0,22.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,7.0,2.0,0.0,8500.0,2015,11,139
2311,2.0,0.0,2.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,0.0,8000.0,2015,11,139
2492,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,1.0,0.0,2200.0,2015,11,139
2673,0.0,0.0,0.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,5.0,1.0,2.0,7400.0,2015,11,139
2854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,10.0,3.0,1.0,5200.0,2015,11,139
3035,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,10.0,2.0,7.0,5000.0,2015,11,139
3216,2.0,38.0,122.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,10.0,2.0,1.0,3300.0,2015,11,139
3397,2.0,18.0,54.0,119.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,7.0,1.0,2.0,3300.0,2015,11,139
3578,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,5.0,3.0,2.0,22000.0,2015,11,139
3759,1.0,44.0,127.0,122.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,7.0,1.0,1.0,9800.0,2015,11,139
3940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,6.0,6.0,1.0,2600.0,2015,11,139
